communityID,urban_score_div,year
1540441,5,2011
1540442,3,2011
1540443,3,2011
1540581,3,2011
1540582,NA,2011
1540583,3,2011
1546281,3,2011
1546282,3,2011
1546283,3,2011
1546311,3,2011
1546312,3,2011
1546313,4,2011
1546761,5,2011
1546762,3,2011
1546763,3,2011
1556761,6,2011
1556762,3,2011
1556763,7,2011
1582311,4,2011
1582312,4,2011
1582313,4,2011
1582781,5,2011
1582782,7,2011
1582783,5,2011
1601041,3,2011
1601042,4,2011
1601043,3,2011
1611591,2,2011
1611592,2,2011
1611593,2,2011
1624311,4,2011
1624312,3,2011
1624313,2,2011
1660061,2,2011
1660062,2,2011
1660063,2,2011
1682311,2,2011
1682312,2,2011
1682313,3,2011
1711591,3,2011
1711592,3,2011
1711593,3,2011
1746431,2,2011
1746432,2,2011
1746433,3,2011
1755311,3,2011
1755312,2,2011
1755313,1,2011
1774021,3,2011
1774022,3,2011
1774023,1,2011
1840371,3,2011
1840372,2,2011
1840373,3,2011
1940371,3,2011
1940372,4,2011
1940373,3,2011
2001041,4,2011
2001042,3,2011
2001043,2,2011
2024541,3,2011
2024542,3,2011
2024543,3,2011
2040281,4,2011
2040282,5,2011
2040283,3,2011
2049061,4,2011
2049062,3,2011
2049063,3,2011
2053041,6,2011
2053042,3,2011
2053043,6,2011
2074061,5,2011
2074062,3,2011
2074063,6,2011
2074281,3,2011
2074282,3,2011
2074283,3,2011
2111541,5,2011
2111542,5,2011
2111543,3,2011
2111761,3,2011
2111762,2,2011
2111763,2,2011
2124281,2,2011
2124282,3,2011
2124283,3,2011
2411161,3,2011
2411162,4,2011
2411163,3,2011
2427021,3,2011
2427022,10,2011
2427023,2,2011
2440561,7,2011
2440562,7,2011
2440563,5,2011
2446041,3,2011
2446042,3,2011
2446043,1,2011
2446761,2,2011
2446762,2,2011
2446763,3,2011
2616761,5,2011
2616762,6,2011
2616763,5,2011
2627281,3,2011
2627282,5,2011
2627283,3,2011
2653591,3,2011
2653592,5,2011
2653593,2,2011
2655761,3,2011
2655762,3,2011
2655763,2,2011
2660591,2,2011
2660592,2,2011
2660593,2,2011
2663061,4,2011
2663062,1,2011
2663063,3,2011
2686061,2,2011
2686062,2,2011
2686063,2,2011
2704021,3,2011
2704022,2,2011
2704023,3,2011
2718061,3,2011
2718062,2,2011
2718063,3,2011
2749511,2,2011
2749512,4,2011
2749513,4,2011
2755591,7,2011
2755592,4,2011
2755593,5,2011
2801541,2,2011
2801542,2,2011
2801543,2,2011
2811041,2,2011
2811042,3,2011
2811043,3,2011
2811161,3,2011
2811162,2,2011
2811163,6,2011
2855021,4,2011
2855022,2,2011
2855023,5,2011
2882511,6,2011
2882512,6,2011
2882513,6,2011
2916761,6,2011
2916762,5,2011
2916763,7,2011
2924581,3,2011
2924582,3,2011
2924583,5,2011
2940281,3,2011
2940282,3,2011
2940283,3,2011
2940991,4,2011
2940992,3,2011
2940993,3,2011
2953311,1,2011
2953312,1,2011
2953313,5,2011
2960061,2,2011
2960062,3,2011
2960063,2,2011
2960811,3,2011
2960812,1,2011
2960813,2,2011
2963311,2,2011
2963312,1,2011
2963313,2,2011
2974391,4,2011
2974392,3,2011
2974393,3,2011
2982451,1,2011
2982452,3,2011
2982453,2,2011
2986311,2,2011
2986312,2,2011
2986313,3,2011
3201461,1,2011
3201462,1,2011
3201463,2,2011
3211161,2,2011
3211162,3,2011
3211163,2,2011
3211311,3,2011
3211312,4,2011
3211313,1,2011
3216591,5,2011
3216592,7,2011
3216593,5,2011
3240451,3,2011
3240452,3,2011
3240453,3,2011
3240781,5,2011
3240782,3,2011
3240783,4,2011
3246811,3,2011
3246812,4,2011
3246813,2,2011
3253061,2,2011
3253062,2,2011
3253063,2,2011
3255541,5,2011
3255542,2,2011
3255543,3,2011
3263461,2,2011
3263462,3,2011
3263463,2,2011
3263591,2,2011
3263592,5,2011
3263593,3,2011
3301021,3,2011
3301022,2,2011
3301023,3,2011
