communityID,urban_score_pop
2660593,6
2663061,6.5
2663062,5.5
2663063,5.5
2686061,5
2686062,5.25
2686063,5.5
2704021,4
2704022,4
2704023,4.5
2718061,3.5
2718062,0
2718063,4
2749511,5.5
2749512,7.5
2749513,5
2755591,5
2755592,7
2755593,6
2801541,6
2801542,6
2801543,6
2811041,7.5
2811042,5.6
2811043,7.5
2811161,3
2811162,6
2811163,4
2855021,2.5
2855022,3
2855023,6
2882511,6.5
2882512,4
2882513,3
2916761,5.5
2916762,1.5
2916763,6
2924581,6
2924582,6
2924583,7.5
2940281,9
2940282,7.5
2940283,8.5
2940991,6
2940992,6
2940993,6
2953311,7.5
2953312,6.5
2953313,6.5
2960061,4.5
2960062,7.5
2960063,8
2960811,5
2960812,4
2960813,5.5
2963311,5
2963312,5
2963313,5
2974391,8
2974392,5
2974393,6.5
2982451,5
2982452,5.25
2982453,5.5
2986311,5.166666666666667
2986312,5.5
2986313,6.666666666666667
3201461,5.5
3201462,8
3201463,5.5
3211161,8
3211162,8
3211163,7
3211311,7.5
3211312,6
3211313,6
3216591,7
3216592,8
3216593,7
3240451,6
3240452,5
3240453,5.5
3240781,8.5
3240782,6.25
3240783,6.25
3246811,6
3246812,6
3246813,7
3253061,5.5
3253062,5.5
3253063,5
3255541,5.5
3255542,5.5
3255543,6.5
3263461,4
3263462,5
3263463,4.5
3263591,4
3263592,6.5
3263593,7
3301021,6.5
3301022,4.5
3301023,6
3301311,5
3301312,5
3301313,5
3304041,7
3304042,6.25
3304043,5.5
3340021,5
3340022,7
3340023,5
3346311,5.5
3346312,5
3346313,7.5
3360591,4.5
3360592,5.5
3360593,5
3382311,6
3382312,8
3382313,4.5
3452331,5
3452332,5
3452333,5.5
3477631,6.5
3477632,5.5
3477633,8
