communityID,urban_score_soc
1504781,4.949999999999999
1504782,8.25
1504783,4.949999999999999
1511561,6.6
1511562,6.6
1511563,6.6
1538591,6.6
1538592,4.949999999999999
1538593,8.25
1540441,6.6
1540442,8.25
1540443,6.6
1540581,6.6
1540582,6.6
1540583,6.6
1546281,6.6
1546282,4.949999999999999
1546283,6.6
1546311,4.949999999999999
1546312,4.949999999999999
1546313,9.899999999999999
1546761,6.6
1546762,4.949999999999999
1546763,6.6
1556761,3.3
1556762,6.6
1556763,8.25
1582311,9.899999999999999
1582312,9.899999999999999
1582313,4.949999999999999
1582781,4.949999999999999
1582782,4.949999999999999
1582783,4.949999999999999
1601041,6.6
1601042,6.6
1601043,6.6
1611591,6.6
1611592,4.949999999999999
1611593,6.6
1624311,6.6
1624312,6.6
1624313,6.6
1660061,3.3
1660062,3.3
1660063,4.949999999999999
1682311,6.6
1682312,4.949999999999999
1682313,6.6
1711591,6.6
1711592,6.6
1711593,4.949999999999999
1746431,4.949999999999999
1746432,6.6
1746433,9.899999999999999
1755311,6.6
1755312,4.949999999999999
1755313,4.949999999999999
1774021,6.6
1774022,3.3
1774023,4.949999999999999
1840371,6.6
1840372,4.949999999999999
1840373,1.65
1940371,4.949999999999999
1940372,3.3
1940373,6.6
2001041,6.6
2001042,6.6
2001043,4.949999999999999
2024541,4.949999999999999
2024542,9.899999999999999
2024543,9.899999999999999
2040281,4.949999999999999
2040282,3.3
2040283,6.6
2049061,4.949999999999999
2049062,4.949999999999999
2049063,4.949999999999999
2053041,6.6
2053042,6.6
2053043,6.6
2074061,6.6
2074062,6.6
2074063,6.6
2074281,4.949999999999999
2074282,6.6
2074283,4.949999999999999
2111541,6.6
2111542,4.949999999999999
2111543,4.949999999999999
2111761,4.949999999999999
2111762,3.3
2111763,6.6
2124281,3.3
2124282,6.6
2124283,6.6
2411161,4.949999999999999
2411162,6.6
2411163,6.6
2427021,3.3
2427022,4.949999999999999
2427023,6.6
2440561,6.6
2440562,6.6
2440563,6.6
2446041,6.6
2446042,6.6
2446043,6.6
2446761,8.25
2446762,4.949999999999999
2446763,4.949999999999999
2616761,8.25
2616762,8.25
2616763,6.6
2627281,3.3
2627282,6.6
2627283,6.6
2653591,4.949999999999999
2653592,9.899999999999999
2653593,6.6
2655761,6.6
2655762,6.6
2655763,6.6
2660591,6.6
2660592,3.3
2660593,6.6
2663061,6.6
2663062,6.6
2663063,4.949999999999999
2686061,4.949999999999999
2686062,6.6
2686063,6.6
2704021,4.949999999999999
2704022,4.949999999999999
2704023,6.6
2718061,4.949999999999999
2718062,6.6
2718063,4.949999999999999
2749511,6.6
2749512,9.899999999999999
2749513,6.6
2755591,3.3
2755592,9.899999999999999
2755593,9.899999999999999
2801541,6.6
2801542,4.949999999999999
2801543,4.949999999999999
2811041,4.949999999999999
2811042,6.6
2811043,6.6
2811161,4.949999999999999
2811162,6.6
2811163,6.6
2855021,4.949999999999999
2855022,4.949999999999999
2855023,6.6
2882511,4.949999999999999
2882512,6.6
2882513,4.949999999999999
2916761,4.949999999999999
2916762,4.949999999999999
2916763,4.949999999999999
2924581,6.6
2924582,6.6
2924583,6.6
2940281,9.899999999999999
2940282,3.3
2940283,6.6
2940991,6.6
2940992,6.6
2940993,6.6
2953311,4.949999999999999
2953312,4.949999999999999
2953313,4.949999999999999
2960061,8.25
2960062,4.949999999999999
2960063,6.6
2960811,4.949999999999999
2960812,3.3
2960813,4.949999999999999
2963311,4.949999999999999
2963312,6.6
2963313,6.6
2974391,3.3
2974392,4.949999999999999
2974393,4.949999999999999
2982451,4.949999999999999
2982452,8.25
2982453,4.949999999999999
2986311,4.949999999999999
2986312,4.949999999999999
2986313,5.499999999999999
3201461,6.6
3201462,6.6
3201463,4.949999999999999
3211161,3.3
3211162,6.6
3211163,4.949999999999999
3211311,9.899999999999999
3211312,6.6
3211313,6.6
3216591,6.6
3216592,9.899999999999999
3216593,4.949999999999999
3240451,4.949999999999999
3240452,4.949999999999999
3240453,6.6
3240781,6.6
3240782,6.6
3240783,6.6
3246811,4.949999999999999
3246812,6.6
3246813,4.949999999999999
3253061,4.949999999999999
3253062,6.6
3253063,4.949999999999999
3255541,4.949999999999999
3255542,4.949999999999999
3255543,9.899999999999999
3263461,6.6
3263462,6.6
3263463,6.6
3263591,4.949999999999999
3263592,6.6
3263593,6.6
3301021,6.6
3301022,6.6
3301023,6.6
3301311,4.949999999999999
3301312,6.6
3301313,4.949999999999999
3304041,6.6
3304042,6.6
3304043,6.6
3340021,9.899999999999999
3340022,9.899999999999999
3340023,6.6
3346311,6.6
3346312,6.6
3346313,9.899999999999999
3360591,4.949999999999999
3360592,4.949999999999999
3360593,6.6
3382311,4.949999999999999
3382312,6.6
3382313,4.949999999999999
3452331,4.949999999999999
3452332,3.3
3452333,6.6
3477631,4.949999999999999
3477632,4.949999999999999
3477633,6.6
