communityID,urban_score_edu
1424031,4.82
1424032,4.82
1424033,4.82
1440161,1.38
1440162,6.3
1440163,4.9
1455281,4.8
1455282,4.8
1455283,4.8
1504781,4.9
1504782,3.9
1504783,4.7
1511561,5.1
1511562,4.38
1511563,5.08
1538591,4.36
1538592,2.28
1538593,3.3200000000000003
1540441,4.5
1540442,2.816
1540443,3.6086666666666662
1540581,3.6086666666666662
1540582,3.5099999999999993
1540583,3.6086666666666662
1546281,3.1235
1546282,3.1235
1546283,3.1235
1546311,3.1
1546312,3.1235
1546313,3.1235
1546761,1.7239999999999998
1546762,2.28
1546763,5.39
1556761,2.9619999999999997
1556762,3.5309999999999997
1556763,4.1
1582311,3.2599999999999993
1582312,3
1582313,4.8
1582781,2.88
1582782,3.2598
1582783,2.359
1601041,5
1601042,4.72
1601043,5.1
1611591,2.98
1611592,2.69
1611593,5.1
1624311,1.7
1624312,4.94
1624313,4.31
1660061,4.28
1660062,2.98
1660063,3.14
1682311,2.02
1682312,2.57
1682313,3.11
1711591,3.6384
1711592,2.6
1711593,3.9200000000000004
1746431,2.64
1746432,2.8
1746433,5.2
1755311,3.9810000000000003
1755312,4.2
1755313,1.4609999999999999
1774021,3.6130000000000004
1774022,2.61
1774023,4.8
1840371,4.06
1840372,3.3
1840373,3.6799999999999997
1940371,1.48
1940372,1.78
1940373,2.08
2001041,5.74
2001042,5.74
2001043,5.74
2024541,2.82
2024542,2.7162
2024543,3.9260000000000006
2040281,3.45
2040282,5.5
2040283,1.4
2049061,3.9200000000000004
2049062,3.16
2049063,2.6
2053041,2.76
2053042,4.041
2053043,4.94
2074061,2.8
2074062,3.74
2074063,3.74
2074281,4
2074282,2.9
2074283,4
2111541,3.3
2111542,4.04
2111543,2.4
2111761,3.78
2111762,2.96
2111763,3.1
2124281,3.2
2124282,3.2
2124283,3.2
2411161,3.6
2411162,3.6
2411163,3.6
2427021,3.9
2427022,3.9
2427023,7.279999999999999
2440561,3.9
2440562,3.3
2440563,2.88
2446041,4.65
2446042,4.821000000000001
2446043,4.048
2446761,3.9024
2446762,3.012
2446763,3.939175
2616761,2.69
2616762,4.09
2616763,1.1305
2627281,3.0850000000000004
2627282,3.4900000000000007
2627283,2.68
2653591,2.2
2653592,4.7
2653593,2.92
2655761,4
2655762,4.5
2655763,3.5
2660591,3.05
2660592,2.98
2660593,2.82
2663061,4.4
2663062,2.68
2663063,1.47
2686061,3.38
2686062,3.38
2686063,3.38
2704021,3.28
2704022,3.22
2704023,5.74
2718061,2.8
2718062,4.3
2718063,2.5
2749511,3.3
2749512,4.79
2749513,3
2755591,4.24
2755592,4.235
2755593,3.5
2801541,5.2010000000000005
2801542,3.84
2801543,6.5
2811041,2.945
2811042,1.86
2811043,2.945
2811161,2.48
2811162,4.1
2811163,3.34
2855021,3.04
2855022,2.94
2855023,5.1
2882511,4.7
2882512,3.7599999999999993
2882513,2.22
2916761,3.8199999999999994
2916762,2.99
2916763,3.405
2924581,5.1
2924582,4.28
2924583,3.78
2940281,4.65
2940282,2.8
2940283,3.3
2940991,4
2940992,4.14
2940993,4
2953311,1.016
2953312,3.2599999999999993
2953313,4.32
2960061,3.66
2960062,3.62
2960063,2.9
2960811,4.34
2960812,3.6399999999999997
2960813,3.88
2963311,3.4
2963312,2.9
2963313,3.34
2974391,3.5800000000000005
2974392,3.2400000000000007
2974393,3.9200000000000004
2982451,3.62
2982452,4.4
2982453,3.06
2986311,3.6333333333333333
2986312,3.2400000000000007
2986313,4.163333333333334
3201461,3.66
3201462,2.72
3201463,2.84
3211161,4.1
3211162,3.6159999999999997
3211163,2.8
3211311,5.76
3211312,2.02
3211313,3.4
3216591,3.85
3216592,4.155
3216593,4.46
3240451,4.601
3240452,3.72
3240453,4.081
3240781,5.8
3240782,4.401
3240783,3.8
3246811,3.5799999999999996
3246812,4.22
3246813,4.77
3253061,1.86
3253062,3.7
3253063,3
3255541,3.96
3255542,4.02
3255543,3.3199999999999994
3263461,3.6800000000000006
3263462,4.1
3263463,0.66
3263591,2.5
3263592,4.64
3263593,3.3
3301021,4.78
3301022,3.45
3301023,3.6409999999999996
3301311,3.45
3301312,3.84
3301313,3.65
3304041,3.8199999999999994
3304042,3.8199999999999994
3304043,3.8199999999999994
3340021,5.575
3340022,4.45
3340023,6.7
3346311,4.201444444444444
3346312,4.201444444444444
3346313,4.201444444444444
3360591,2.7
3360592,3.6100000000000003
3360593,5.68
3382311,4.82
3382312,5.26
3382313,2.56
3452331,2.46
3452332,2.88
3452333,5.3
3477631,2.72
3477632,3.4799999999999995
3477633,4.23
