urban_score_pop,urban_score_markets,urban_score_trans,urban_score_housing,urban_score_econ,urban_score_div,communityID,urban_score
6.5,3.3333333333333335,3.3332,9.667577413479053,5,4.75,0311061,32.584110746812385
6.5,3.3333333333333335,6.6664,7.148451730418944,4.5,3.5,0311062,31.648185063752276
5.5,3.3333333333333335,6.6664,7.723132969034608,6,5.25,0311063,34.47286630236794
3,0,0,4.115402660484627,5,5,0340431,17.115402660484627
4.5,5.555555555555555,0,5.073301319202958,5.5,4.75,0340432,25.37885687475851
4,5.555555555555555,4.9998000000000005,5.588157346761065,3.5,4.25,0340433,27.893512902316623
3,3.3333333333333335,3.3332,9.363053494787321,5,5.25,0346761,29.279586828120657
4,3.3333333333333335,6.6664,9.642324888226527,5,4.75,0346762,33.39205822155986
3.5,3.3333333333333335,6.6664,7.196817179560924,4,4.5,0346763,29.196550512894255
5,3.3333333333333335,3.3332,5.686274509803922,3.5,4.5,0467461,25.352807843137256
5,3.3333333333333335,3.3332,3.324225865209472,4,4.25,0467462,23.240759198542804
4,3.3333333333333335,4.9998000000000005,5.757575757575758,3.5,3.5,0467463,25.09070909090909
5.5,2.2222222222222223,1.6666,3.362018760145224,3.5,4.25,0516061,20.500840982367446
5.5,0,0,3.324225865209472,4,4,0516062,16.82422586520947
5.5,2.2222222222222223,0,3.3333333333333335,4,4,0516063,19.055555555555557
5.5,6.666666666666667,6.6664,4.166666666666667,4.5,5,0540541,32.49973333333334
5,6.666666666666667,6.6664,8.237014958326434,5,5,0540542,36.5700816249931
6,0,4.9998000000000005,4.231469805240297,4.5,4.75,0540543,24.4812698052403
5.5,3.3333333333333335,6.6664,4.435336976320582,8,6.75,0542491,34.68507030965391
5.5,3.3333333333333335,6.6664,3.4310634720470787,7.5,5.75,0542492,32.18079680538041
5.5,4.444444444444445,6.6664,3.893031700796719,5,5,0542493,30.503876145241165
3.5,0,0,3.296903460837887,3.5,4.75,0560431,15.046903460837887
4,0,0,3.278688524590164,3.5,4.25,0560432,15.028688524590164
5.5,5.555555555555555,1.6666,3.990520219891348,4,4,0560433,24.712675775446904
5.5,3.3333333333333335,3.3332,3.9908925318761383,5.5,5,0560591,26.657425865209472
10,0,0,3.4168184578020644,4,4.5,0560592,21.916818457802066
4.5,0,0,3.324225865209472,4,3.25,0560593,15.074225865209472
7,8.88888888888889,6.6664,6.612021857923497,5,4.75,0563021,38.91731074681239
6,6.666666666666667,6.6664,9.589047999596824,5,4.25,0563022,38.17211466626349
4.5,4.444444444444445,9.999600000000001,3.4063113571310293,5.5,4.5,0563023,32.350355801575475
3,0,0,3.1056466302367944,4.5,4.75,0563461,15.355646630236794
6,3.3333333333333335,1.6666,3.526935200636977,8.5,5.5,0563462,28.52686853397031
5.3,8.88888888888889,6.6664,9.990892531876138,6,5.25,0563463,42.09618142076503
4.25,3.3333333333333335,3.3332,3.443273484257091,4,4.5,0566041,22.859806817590425
4,0,3.3332,3.1420765027322406,3.5,4.5,0566042,18.475276502732243
4.5,3.3333333333333335,3.3332,4.056212140466811,4.5,5,0566043,24.722745473800146
5.5,3.3333333333333335,4.9998000000000005,3.350680891664498,3,2.75,0574571,22.93381422499783
6,3.3333333333333335,0,3.513142741783779,3.5,3,0574572,19.346476075117113
4.5,2.2222222222222223,0,3.1442395264116576,2.5,3,0574573,15.366461748633881
2,0,0,1.0997267759562843,3,1.75,0576331,7.8497267759562845
2,2.2222222222222223,0,2.921979356405586,4.5,3.25,0576332,14.894201578627808
2,0,0,2.125075895567699,4.5,2.75,0576333,11.375075895567699
6.5,6.666666666666667,6.6664,9.972677595628415,6,5.25,0582021,41.05574426229508
3,2.2222222222222223,4.9998000000000005,5.290865628459405,3.5,3.5,0582022,22.512887850681626
5.5,3.3333333333333335,3.3332,4.805707346690953,3.5,3.75,0582023,24.222240680024285
4.5,2.2222222222222223,3.3332,3.2874300048141483,4.5,4.75,0586591,22.59285222703637
8.5,6.666666666666667,9.999600000000001,9.990892531876138,5.5,4.75,0586592,45.40715919854281
5.5,3.3333333333333335,6.6664,3.2877959927140257,4.5,2.5,0586593,25.78752932604736
7.5,1.1111111111111112,3.3332,4.891591750396615,3.5,3.5,0604401,23.835902861507726
5.5,0,3.3332,4.633966593474228,3,4.5,0604402,20.96716659347423
5,3.3333333333333335,6.6664,4.251366120218579,3.5,4.75,0604403,27.501099453551912
6,6.666666666666667,3.3332,4.759743574699784,4.5,4.75,0604811,30.009610241366452
5.5,6.666666666666667,3.3332,4.990892531876138,4,4.25,0604812,28.740759198542808
5.5,3.3333333333333335,1.6666,3.965251506235113,3.5,2.25,0604813,20.215184839568447
8.5,5.555555555555555,6.6664,9.990892531876138,6.5,5.25,0640281,42.462848087431695
8.5,3.3333333333333335,6.6664,9.938645927905396,6.5,5.25,0640282,40.18837926123873
7.5,7.777777777777778,6.6664,9.990892531876138,6,4.8,0640283,42.73507030965391
4,2.2222222222222223,3.3332,3.445291240512135,4,3.75,0640331,20.750713462734357
5,0,6.6664,5,4,4.75,0640332,25.4164
4,3.3333333333333335,6.6664,3.3333333333333335,4,3.5,0640333,24.833066666666667
7,4.444444444444445,6.6664,10,6,4.9366666666666665,0646041,39.04751111111111
7.5,3.3333333333333335,4.9998000000000005,9.990892531876138,5.5,4.6866666666666665,0646042,36.01069253187614
8,3.3333333333333335,9.999600000000001,10,5.5,4.4366666666666665,0646043,41.269600000000004
3.5,3.3333333333333335,1.6666,4.5619046849977,5,5.5,0655461,23.561838018331034
3,2.2222222222222223,0,4.158318154219793,4,3.75,0655462,17.130540376442013
3.5,3.3333333333333335,6.6664,5.686492264168058,5,4.75,0655463,28.93622559750139
7,5.555555555555555,8.333,9.315862663297883,4.5,4.5,0724281,39.20441821885344
7,3.3333333333333335,6.6664,8.724833199944348,5.5,5.5,0724282,36.72456653327768
7.5,4.444444444444445,6.6664,9.05646630236794,4.5,4.75,0724283,36.91731074681238
5.5,3.3333333333333335,3.3332,4.451458891943568,5.5,5.5,0740021,27.6179922252769
4.5,3.3333333333333335,3.3332,3.3333333333333335,3.5,4.5,0740022,22.499866666666666
4.5,3.3333333333333335,3.3332,8.515092912610763,4,4.5,0740023,28.181626245944095
